tab,field,value
Finansai,Grynasis pelningumas 2024,"51,43 %"
Finansai,Grynasis pelningumas 2025,"48,75 %"
Finansai,Nuosavas kapitalas 2021,199 €
Finansai,Nuosavas kapitalas 2022,0 €
Finansai,Nuosavas kapitalas 2023,5 007 €
Finansai,Nuosavas kapitalas 2024,8 087 €
Finansai,Nuosavas kapitalas 2025,33 141 €
Finansai,Mokėtinos sumos ir įsipareigojimai 2021,0 €
Finansai,Mokėtinos sumos ir įsipareigojimai 2022,0 €
Finansai,Mokėtinos sumos ir įsipareigojimai 2023,1 240 €
Finansai,Mokėtinos sumos ir įsipareigojimai 2024,2 951 €
Finansai,Mokėtinos sumos ir įsipareigojimai 2025,8 081 €
Finansai,Ilgalaikis turtas 2021,0 €
Finansai,Ilgalaikis turtas 2022,0 €
Finansai,Ilgalaikis turtas 2023,0 €
Finansai,Ilgalaikis turtas 2024,0 €
Finansai,Ilgalaikis turtas 2025,0 €
Finansai,Trumpalaikis turtas 2021,199 €
Finansai,Trumpalaikis turtas 2022,0 €
Finansai,Trumpalaikis turtas 2023,6 247 €
Finansai,Trumpalaikis turtas 2024,11 038 €
Finansai,Trumpalaikis turtas 2025,41 222 €
Finansai,Pardavimo pajamos (grafikas) 2017,6730 €
Finansai,Pardavimo pajamos (grafikas) 2018,3060 €
Finansai,Pardavimo pajamos (grafikas) 2019,4301 €
Finansai,Pardavimo pajamos (grafikas) 2022,23740 €
Finansai,Pardavimo pajamos (grafikas) 2023,60840 €
Finansai,Pardavimo pajamos (grafikas) 2024,123706 €
Finansai,Pelnas prieš mokesčius (grafikas) 2017,3411 €
Finansai,Pelnas prieš mokesčius (grafikas) 2018,-3087 €
Finansai,Pelnas prieš mokesčius (grafikas) 2019,1 €
Finansai,Pelnas prieš mokesčius (grafikas) 2022,19584 €
Finansai,Pelnas prieš mokesčius (grafikas) 2023,32936 €
Finansai,Pelnas prieš mokesčius (grafikas) 2024,65157 €
Finansai,Grynasis pelnas (grafikas) 2017,3240 €
Finansai,Grynasis pelnas (grafikas) 2018,-3087 €
Finansai,Grynasis pelnas (grafikas) 2019,1 €
Finansai,Grynasis pelnas (grafikas) 2022,18605 €
Finansai,Grynasis pelnas (grafikas) 2023,31289 €
Finansai,Grynasis pelnas (grafikas) 2024,60309 €
Darbuotojai,Darbuotojų (apdraustųjų) skaičius,1
Darbuotojai,Metinis darbuotojų vidurkis,1 (+0%)
Darbuotojai,Darbuotojų skaičius (grafikas) 2024-08-05,1
Darbuotojai,Darbuotojų skaičius (grafikas) 2026-02-09,2
Darbuotojai,Darbuotojų skaičius (grafikas) 2026-04-17,1
Darbuotojai,Darbuotojų skaičius (grafikas) 2026-06-20,1
Skolos,Registruotos skolos,Turi
Skolos,Skolų pokyčių įrašai,38 įrašai nuo 2026-06-16
Skolos,Kreditingumas (Juris LT),"neskolinga — Juris LT, UAB"
Skolos,Skola VMI 2024-06-19,977.53 €
Skolos,Skola VMI 2024-06-21,0.84 €
Skolos,Skola VMI 2024-10-02,1.12 €
Skolos,Skola VMI 2024-10-31,1.16 €
Skolos,Skola VMI 2024-11-21,0 €
Skolos,Skola VMI 2024-11-23,1.3 €
Skolos,Skola VMI 2024-12-13,36.82 €
Skolos,Skola VMI 2024-12-14,1.3 €
Skolos,Skola VMI 2024-12-31,1.41 €
Skolos,Skola VMI 2025-01-16,0.16 €
Skolos,Skola VMI 2025-02-14,0 €
Skolos,Skola VMI 2026-02-11,0.42 €
Skolos,Skola VMI 2026-02-28,0 €
Skolos,Skola VMI 2026-03-28,0.26 €
Skolos,Skola VMI 2026-04-19,0.26 €
Skolos,Skola VMI 2026-04-23,0 €
Skolos,Skola VMI 2026-04-25,0 €
Skolos,Skola VMI 2026-04-26,0 €
Skolos,Skola VMI 2026-04-27,0 €
Skolos,Skola VMI 2026-04-29,0.26 €
Skolos,Skola VMI 2026-05-02,0.26 €
Skolos,Skola VMI 2026-05-04,0.26 €
Skolos,Skola VMI 2026-05-12,0.26 €
Skolos,Skola VMI 2026-05-16,0.26 €
Skolos,Skola VMI 2026-05-24,0 €
Skolos,Skola VMI 2026-05-27,0.26 €
Skolos,Skola VMI 2026-05-31,0.34 €
Skolos,Skola VMI 2026-06-15,0.34 €
Skolos,Skola VMI 2026-06-20,0.34 €
Skolos,Skola Sodrai 2022-10-02,50.95 €
Skolos,Skola Sodrai 2022-11-02,101.9 €
Skolos,Skola Sodrai 2022-11-16,0 €
Skolos,Skola Sodrai 2024-05-14,211.85 €
Skolos,Skola Sodrai 2024-05-30,0 €
Skolos,Skola Sodrai 2024-06-02,56.34 €
Skolos,Skola Sodrai 2024-06-17,0 €
Skolos,Skola Sodrai 2024-06-19,0 €
Skolos,Skola Sodrai 2024-06-21,0 €
Skolos,Skola Sodrai 2024-10-02,0 €
Skolos,Skola Sodrai 2024-10-31,0 €
Skolos,Skola Sodrai 2024-11-21,0 €
Skolos,Skola Sodrai 2024-11-23,0 €
Skolos,Skola Sodrai 2024-12-13,0 €
Skolos,Skola Sodrai 2024-12-14,0 €
Skolos,Skola Sodrai 2024-12-31,0 €
Skolos,Skola Sodrai 2025-01-16,0 €
Skolos,Skola Sodrai 2025-02-14,0 €
Skolos,Skola Sodrai 2026-02-11,0 €
Skolos,Skola Sodrai 2026-02-28,0 €
Skolos,Skola Sodrai 2026-03-28,0 €
Skolos,Skola Sodrai 2026-04-19,149.53 €
Skolos,Skola Sodrai 2026-04-23,149.78 €
Skolos,Skola Sodrai 2026-04-25,149.53 €
Skolos,Skola Sodrai 2026-04-26,149.78 €
Skolos,Skola Sodrai 2026-04-27,0 €
Skolos,Skola Sodrai 2026-04-29,0 €
Skolos,Skola Sodrai 2026-05-02,93.3 €
Skolos,Skola Sodrai 2026-05-04,78.53 €
Skolos,Skola Sodrai 2026-05-12,253.56 €
Skolos,Skola Sodrai 2026-05-16,535.09 €
Skolos,Skola Sodrai 2026-05-24,535.09 €
Skolos,Skola Sodrai 2026-05-27,287.47 €
Skolos,Skola Sodrai 2026-05-31,0 €
Skolos,Skola Sodrai 2026-06-15,94.55 €
Skolos,Skola Sodrai 2026-06-20,94.55 €
